date,pair,status,price_fst_stock,price_scnd_stock,beta_open,beta_close,last_residual,std_residual,std_open_residual,residual_open,open_price_first_stock,open_price_scnd_stock,open_date,close_limit,stop_limit,halflife,days_open
2019-07-04,"('MULT3', 'BRML3')",True,26.5,13.67,1.6628000734205943,,1.1998677856522946,0.5666766976385955,0.5666766976385955,1.1998677856522946,26.5,13.67,2019-07-04,0.2833383488193041,567.8100510338727,6000.0,0
2019-07-05,"('MULT3', 'BRML3')",close,26.67,13.96,1.6628000734205943,VAR CLOSE,0.8751319477276134,0.5683642413737124,0.5666766976385955,1.1998677856522946,26.5,13.67,2019-07-04,0.2833383488193041,567.8100510338727,6000.0,1
2019-07-11,"('MULT3', 'BRML3')",True,27.42,14.08,1.6799920198669915,,1.3650526402215633,0.5809621788720457,0.5809621788720457,1.3650526402215633,27.42,14.08,2019-07-11,0.2904810894360491,582.1241032297899,7000.0,0
2019-07-12,"('MULT3', 'BRML3')",close,26.83,14.03,1.6799920198669915,VAR CLOSE,0.8473630215679293,0.5828763956820949,0.5809621788720457,1.3650526402215633,27.42,14.08,2019-07-11,0.2904810894360491,582.1241032297899,7000.0,1
2019-08-09,"('MULT3', 'BRML3')",True,26.48,15.04,1.7035986923518496,,-1.3515679785721417,0.61025509340391,0.61025509340391,-1.3515679785721417,26.48,15.04,2019-08-09,0.30512754670193576,611.4756035907178,7000.0,0
2019-08-12,"('MULT3', 'BRML3')",close,26.44,14.85,1.7035986923518496,VAR CLOSE,-1.052289597891427,0.6121548632580668,0.61025509340391,-1.3515679785721417,26.48,15.04,2019-08-09,0.30512754670193576,611.4756035907178,7000.0,1
2019-07-02,"('B3SA3', 'IRBR3')",True,10.9,29.25,0.2774443043946313,,0.9939692530537396,0.48178601548149985,0.48178601548149985,0.9939692530537396,10.9,29.25,2019-07-02,0.24089300774074768,482.7495875124628,8000.0,0
2019-07-03,"('B3SA3', 'IRBR3')",close,11.15,29.02,0.2774443043946313,VAR CLOSE,1.2958426791463626,0.4887394915873763,0.48178601548149985,0.9939692530537396,10.9,29.25,2019-07-02,0.24089300774074768,482.7495875124628,8000.0,1
2019-07-23,"('BBAS3', 'BBDC3')",True,43.39,22.81,2.2893341779053094,,-2.9907107700494038,1.3857130820273549,1.3857130820273549,-2.9907107700494038,43.39,22.81,2019-07-23,0.6928565410136901,1388.4845081914095,7000.0,0
2019-07-24,"('BBAS3', 'BBDC3')",close,44.17,23.23,2.2893341779053094,VAR CLOSE,-3.1289432151240675,1.3991905033728127,1.3857130820273549,-2.9907107700494038,43.39,22.81,2019-07-23,0.6928565410136901,1388.4845081914095,7000.0,1
