date,pair,status,price_fst_stock,price_scnd_stock,beta_open,beta_close,last_residual,std_residual,std_open_residual,residual_open,open_price_first_stock,open_price_scnd_stock,open_date,close_limit,stop_limit,halflife,days_open,correlation,correlation_limit,var_limit
2019-03-12,"('BBDC4', 'BBSE3')",True,24.78,22.21,1.6629353799907918,,2.262452328154641,1.1560279388866277,1.1125129209645184,2.329570657642421,23.43,21.46,2019-03-01,0.5562564604822948,1114.7379468064473,9.0,5,0.9315285356229007,0.8229557351837617,-0.02970535157665749
2019-03-13,"('BBDC4', 'BBSE3')",True,25.01,22.45,1.6629353799907918,,2.0467958388290803,1.1601752263437948,1.1125129209645184,2.329570657642421,23.43,21.46,2019-03-01,0.5562564604822948,1114.7379468064473,9.0,6,0.9315285356229007,0.8229557351837617,-0.02970535157665749
2019-03-14,"('BBDC4', 'BBSE3')",True,25.07,21.98,1.6629353799907918,,2.871721524410571,1.170399388348152,1.1125129209645184,2.329570657642421,23.43,21.46,2019-03-01,0.5562564604822948,1114.7379468064473,9.0,7,0.9315285356229007,0.8229557351837617,-0.02970535157665749
2019-03-15,"('BBDC4', 'BBSE3')",True,25.17,22.45,1.6629353799907918,,2.1212252817268826,1.1736461873697923,1.1125129209645184,2.329570657642421,23.43,21.46,2019-03-01,0.5562564604822948,1114.7379468064473,9.0,8,0.9315285356229007,0.8229557351837617,-0.02970535157665749
2019-03-18,"('BBDC4', 'BBSE3')",True,25.3,22.26,1.6629353799907918,,2.5413435996913094,1.1811927108752318,1.1125129209645184,2.329570657642421,23.43,21.46,2019-03-01,0.5562564604822948,1114.7379468064473,9.0,9,0.9315285356229007,0.8229557351837617,-0.02970535157665749
2019-03-19,"('BBDC4', 'BBSE3')",close,24.76,22.2,1.6629353799907918,1.7504786829124368,2.074240243931552,1.1852118475814981,1.1125129209645184,2.329570657642421,23.43,21.46,2019-03-01,0.5562564604822948,1114.7379468064473,9.0,10,0.9315285356229007,0.8229557351837617,-0.02970535157665749
2019-03-28,"('BBDC4', 'BBSE3')",True,23.26,21.01,1.7840996079159193,,2.5281498151091917,1.2190224914135173,1.2190224914135173,2.5281498151091917,23.26,21.01,2019-03-28,0.6095112457067716,1221.4605363963442,8.0,0,0.9319426899984279,0.8229557351837617,-0.0306613026610697
2019-03-29,"('BBDC4', 'BBSE3')",True,23.65,21.18,1.7840996079159193,,2.5948929157564784,1.2285487268633033,1.2190224914135173,2.5281498151091917,23.26,21.01,2019-03-28,0.6095112457067716,1221.4605363963442,8.0,1,0.9319426899984279,0.8229557351837617,-0.0306613026610697
2019-04-01,"('BBDC4', 'BBSE3')",True,23.84,21.07,1.7840996079159193,,2.9592712429814547,1.2404735027808726,1.2190224914135173,2.5281498151091917,23.26,21.01,2019-03-28,0.6095112457067716,1221.4605363963442,8.0,2,0.9319426899984279,0.8229557351837617,-0.0306613026610697
2019-04-02,"('BBDC4', 'BBSE3')",True,23.53,21.77,1.7840996079159193,,1.3740748606270756,1.2401966996517797,1.2190224914135173,2.5281498151091917,23.26,21.01,2019-03-28,0.6095112457067716,1221.4605363963442,8.0,3,0.9319426899984279,0.8229557351837617,-0.0306613026610697
2019-04-03,"('BBDC4', 'BBSE3')",close,23.27,22.2,1.7840996079159193,1.803313195546035,0.3185128833931721,1.2307287523189299,1.2190224914135173,2.5281498151091917,23.26,21.01,2019-03-28,0.6095112457067716,1221.4605363963442,8.0,4,0.9319426899984279,0.8229557351837617,-0.0306613026610697
2019-06-05,"('BBDC4', 'BBSE3')",True,24.14,24.59,1.72786608164753,,-2.8830285703960925,1.23477812321884,1.23477812321884,-2.8830285703960925,24.14,24.59,2019-06-05,0.6173890616094396,1237.2476794652775,9.0,0,0.9444684206568101,0.8229557351837617,-0.025780144103143
2019-06-06,"('BBDC4', 'BBSE3')",True,24.67,24.96,1.72786608164753,,-2.9215937498326596,1.2407249833278193,1.23477812321884,-2.8830285703960925,24.14,24.59,2019-06-05,0.6173890616094396,1237.2476794652775,9.0,1,0.9444684206568101,0.8229557351837617,-0.025780144103143
2019-06-07,"('BBDC4', 'BBSE3')",True,24.68,24.75,1.72786608164753,,-2.4951021282749046,1.248685959476398,1.23477812321884,-2.8830285703960925,24.14,24.59,2019-06-05,0.6173890616094396,1237.2476794652775,9.0,2,0.9444684206568101,0.8229557351837617,-0.025780144103143
2019-06-10,"('BBDC4', 'BBSE3')",True,24.39,24.59,1.72786608164753,,-2.461088368077167,1.255714092962822,1.23477812321884,-2.8830285703960925,24.14,24.59,2019-06-05,0.6173890616094396,1237.2476794652775,9.0,3,0.9444684206568101,0.8229557351837617,-0.025780144103143
2019-06-11,"('BBDC4', 'BBSE3')",True,24.5,24.88,1.72786608164753,,-2.7785298112318024,1.2650059953961341,1.23477812321884,-2.8830285703960925,24.14,24.59,2019-06-05,0.6173890616094396,1237.2476794652775,9.0,4,0.9444684206568101,0.8229557351837617,-0.025780144103143
2019-06-12,"('BBDC4', 'BBSE3')",True,24.22,24.83,1.72786608164753,,-2.9122221488210513,1.2757483414920783,1.23477812321884,-2.8830285703960925,24.14,24.59,2019-06-05,0.6173890616094396,1237.2476794652775,9.0,5,0.9444684206568101,0.8229557351837617,-0.025780144103143
2019-06-13,"('BBDC4', 'BBSE3')",True,23.95,24.75,1.72786608164753,,-2.9863632817521726,1.2885585034236526,1.23477812321884,-2.8830285703960925,24.14,24.59,2019-06-05,0.6173890616094396,1237.2476794652775,9.0,6,0.9444684206568101,0.8229557351837617,-0.025780144103143
2019-06-14,"('BBDC4', 'BBSE3')",True,23.91,24.67,1.72786608164753,,-2.836112734157876,1.2970769433656364,1.23477812321884,-2.8830285703960925,24.14,24.59,2019-06-05,0.6173890616094396,1237.2476794652775,9.0,7,0.9444684206568101,0.8229557351837617,-0.025780144103143
2019-06-17,"('BBDC4', 'BBSE3')",True,23.85,24.68,1.72786608164753,,-2.854107662127351,1.3074973168484345,1.23477812321884,-2.8830285703960925,24.14,24.59,2019-06-05,0.6173890616094396,1237.2476794652775,9.0,8,0.9444684206568101,0.8229557351837617,-0.025780144103143
