,date,pair,status,price_fst_stock,price_scnd_stock,beta_open,beta_close,last_residual,std_residual,std_open_residual,residual_open,open_price_first_stock,open_price_scnd_stock,open_date,close_limit,stop_limit,halflife,days_open
5,2019-10-22,"('BBAS3', 'BBDC4')",close,40.5,24.03,1.6840911376240464,1.6613539723098139,-1.8942482666450076,0.9615686650523891,0.9020306089308348,-3.0754758561173148,37.92,23.16,2019-10-15,0.4510153044654454,3.608122435723367,4.0,5
6,2019-10-23,"('BBAS3', 'BBDC4')",True,40.67,24.23,1.655431697815633,,-2.0418479194583696,0.9696823316906629,0.9696823316906629,-2.0418479194583696,40.67,24.23,2019-10-23,0.48484116584527387,3.8787293267625937,4.0,0
7,2019-10-24,"('BBAS3', 'BBDC4')",True,40.41,24.2,1.655431697815633,,-2.2373737181550695,0.9798115986745091,0.9696823316906629,-2.0418479194583696,40.67,24.23,2019-10-23,0.48484116584527387,3.8787293267625937,4.0,1
8,2019-10-25,"('BBAS3', 'BBDC4')",True,40.78,24.52,1.655431697815633,,-2.3789940559967206,0.9912877188358065,0.9696823316906629,-2.0418479194583696,40.67,24.23,2019-10-23,0.48484116584527387,3.8787293267625937,4.0,2
9,2019-10-28,"('BBAS3', 'BBDC4')",True,41.69,25.4,1.655431697815633,,-2.8875801678899364,1.0078995584347923,0.9696823316906629,-2.0418479194583696,40.67,24.23,2019-10-23,0.48484116584527387,3.8787293267625937,4.0,3
10,2019-10-29,"('BBAS3', 'BBDC4')",True,41.58,25.05,1.655431697815633,,-2.401649356250992,1.0193011192438137,0.9696823316906629,-2.0418479194583696,40.67,24.23,2019-10-23,0.48484116584527387,3.8787293267625937,4.0,4
11,2019-10-30,"('BBAS3', 'BBDC4')",close,42.22,25.17,1.655431697815633,1.6295041213538477,-1.9390838960029697,1.0266518778766,0.9696823316906629,-2.0418479194583696,40.67,24.23,2019-10-23,0.48484116584527387,3.8787293267625937,4.0,5
0,2019-07-22,"('BBAS3', 'ITSA4')",True,43.9,11.02,6.72939262319398,,-3.8098904831291733,1.7024747817398778,1.7024747817398778,-3.8098904831291733,43.9,11.02,2019-07-22,0.8512373908699248,6.809899126959497,6.0,0
1,2019-07-23,"('BBAS3', 'ITSA4')",True,43.39,11.08,6.72939262319398,,-4.6565091452234455,1.7280098960987522,1.7024747817398778,-3.8098904831291733,43.9,11.02,2019-07-22,0.8512373908699248,6.809899126959497,6.0,1
2,2019-07-24,"('BBAS3', 'ITSA4')",True,44.17,11.06,6.72939262319398,,-3.6876463659058842,1.7433717149361594,1.7024747817398778,-3.8098904831291733,43.9,11.02,2019-07-22,0.8512373908699248,6.809899126959497,6.0,2
3,2019-07-25,"('BBAS3', 'ITSA4')",True,42.31,10.73,6.72939262319398,,-3.306736441971836,1.7543009345741534,1.7024747817398778,-3.8098904831291733,43.9,11.02,2019-07-22,0.8512373908699248,6.809899126959497,6.0,3
4,2019-07-26,"('BBAS3', 'ITSA4')",True,42.21,10.82,6.72939262319398,,-3.9570813382846453,1.7697640992995702,1.7024747817398778,-3.8098904831291733,43.9,11.02,2019-07-22,0.8512373908699248,6.809899126959497,6.0,4
5,2019-07-29,"('BBAS3', 'ITSA4')",True,42.58,10.8,6.72939262319398,,-3.412896687158799,1.7801324069497988,1.7024747817398778,-3.8098904831291733,43.9,11.02,2019-07-22,0.8512373908699248,6.809899126959497,6.0,5
6,2019-07-30,"('BBAS3', 'ITSA4')",True,42.15,10.63,6.72939262319398,,-2.691684274952337,1.7808521291473556,1.7024747817398778,-3.8098904831291733,43.9,11.02,2019-07-22,0.8512373908699248,6.809899126959497,6.0,6
7,2019-07-31,"('BBAS3', 'ITSA4')",close,41.55,10.37,6.72939262319398,6.559009877933505,-1.5716791553045013,1.7736635414071467,1.7024747817398778,-3.8098904831291733,43.9,11.02,2019-07-22,0.8512373908699248,6.809899126959497,6.0,7
0,2019-07-26,"('BBDC4', 'ITSA4')",True,24.09,10.82,3.245367739304457,,-1.6357541468582362,0.7409941412137516,0.7409941412137516,-1.6357541468582362,24.09,10.82,2019-07-26,0.3704970706069098,2.9639765648550407,8.0,0
1,2019-07-29,"('BBDC4', 'ITSA4')",True,24.04,10.8,3.245367739304457,,-1.60174461454735,0.7469568598828653,0.7409941412137516,-1.6357541468582362,24.09,10.82,2019-07-26,0.3704970706069098,2.9639765648550407,8.0,1
