,date,pair,status,price_fst_stock,price_scnd_stock,beta_open,beta_close,last_residual,std_residual,std_open_residual,residual_open,open_price_first_stock,open_price_scnd_stock,open_date,close_limit,stop_limit,halflife,days_open
10,2019-08-19,"('GOLL4', 'AZUL4')",True,35.03,49.83,1.0149367426360363,,-3.1469841400918455,1.4334455440415645,1.390845687578141,-3.8844097616535933,38.24,53.55,2019-08-13,0.7167227720207909,3.8668910880831375,5.0,4
11,2019-08-20,"('GOLL4', 'AZUL4')",True,35.53,49.68,1.0149367426360363,,-2.464041151925464,1.4406915951947534,1.390845687578141,-3.8844097616535933,38.24,53.55,2019-08-13,0.7203457975973638,3.881383190389494,5.0,5
12,2019-08-21,"('GOLL4', 'AZUL4')",close,35.31,50.85,1.0149367426360363,1.0046963591317017,-3.8065815920695627,1.4591376374000102,1.390845687578141,-3.8844097616535933,38.24,53.55,2019-08-13,0.7295688186999831,3.9182752747999987,5.0,6
13,2019-08-22,"('GOLL4', 'AZUL4')",True,33.52,48.94,1.0026996220713742,,-3.633826578799308,1.476028976756363,1.476028976756363,-3.633826578799308,33.52,48.94,2019-08-22,0.738014488378171,3.9520579535127154,6.0,0
14,2019-08-23,"('GOLL4', 'AZUL4')",True,33.52,47.3,1.0026996220713742,,-1.9685575889634492,1.4812132301885297,1.476028976756363,-3.633826578799308,33.52,48.94,2019-08-22,0.7406066150942665,3.962426460377061,6.0,1
15,2019-08-26,"('GOLL4', 'AZUL4')",True,32.51,46.0,1.0026996220713742,,-1.6614147345986723,1.4848908307976565,1.476028976756363,-3.633826578799308,33.52,48.94,2019-08-22,0.74244541539881,3.9697816615952948,6.0,2
16,2019-08-27,"('GOLL4', 'AZUL4')",True,32.94,45.98,1.0026996220713742,,-1.1991732620518505,1.486604465319178,1.476028976756363,-3.633826578799308,33.52,48.94,2019-08-22,0.7433022326595841,3.973208930638351,6.0,3
17,2019-08-28,"('GOLL4', 'AZUL4')",True,32.44,46.54,1.0026996220713742,,-2.235897475300561,1.4931964110208977,1.476028976756363,-3.633826578799308,33.52,48.94,2019-08-22,0.7465982055104537,3.9863928220418003,6.0,4
18,2019-08-29,"('GOLL4', 'AZUL4')",True,33.88,48.55,1.0026996220713742,,-2.7668011759320947,1.5033768033341424,1.476028976756363,-3.633826578799308,33.52,48.94,2019-08-22,0.751688401667083,4.006753606668297,6.0,5
19,2019-08-30,"('GOLL4', 'AZUL4')",True,33.32,47.1,1.0026996220713742,,-1.8602414109547354,1.507321767190581,1.476028976756363,-3.633826578799308,33.52,48.94,2019-08-22,0.7536608835952942,4.0146435343811655,6.0,6
20,2019-09-02,"('GOLL4', 'AZUL4')",close,32.76,47.14,1.0026996220713742,0.9934834704338913,-2.4379136666804584,1.5147018752898551,1.476028976756363,-3.633826578799308,33.52,48.94,2019-08-22,0.7573509376449346,4.029403750579718,6.0,7
0,2019-12-23,"('EMBR3', 'CCRO3')",True,19.73,18.15,-0.2472628380007874,,1.8201371236810182,0.8092938128978576,0.8092938128978576,1.8201371236810182,19.73,18.15,2019-12-23,0.4046469064489569,2.6185876257957434,9.0,0
1,2019-12-26,"('EMBR3', 'CCRO3')",True,19.72,18.41,-0.2472628380007874,,1.8213842494717625,0.8096779437513738,0.8092938128978576,1.8201371236810182,19.73,18.15,2019-12-23,0.4048389718756534,2.6193558875027136,9.0,1
0,2019-07-01,"('EMBR3', 'WEGE3')",True,19.5,10.37,-1.7648969674718722,,2.3940405737489776,1.1278806313329397,1.1278806313329397,2.3940405737489776,19.5,10.37,2019-07-01,0.5639403156664229,3.2557612626658323,6.0,0
1,2019-07-02,"('EMBR3', 'WEGE3')",True,19.45,10.36,-1.7648969674718722,,2.1810976340208335,1.1321761586701746,1.1278806313329397,2.3940405737489776,19.5,10.37,2019-07-01,0.5660880793350935,3.2643523173403555,6.0,1
2,2019-07-03,"('EMBR3', 'WEGE3')",True,19.34,10.43,-1.7648969674718722,,2.029208053863705,1.133521034079979,1.1278806313329397,2.3940405737489776,19.5,10.37,2019-07-01,0.5667605170398691,3.2670420681598378,6.0,2
3,2019-07-04,"('EMBR3', 'WEGE3')",True,19.34,10.67,-1.7648969674718722,,2.2074074890336206,1.1355242961582799,1.1278806313329397,2.3940405737489776,19.5,10.37,2019-07-01,0.5677621480792054,3.271048592316625,6.0,3
4,2019-07-05,"('EMBR3', 'WEGE3')",True,19.48,10.77,-1.7648969674718722,,2.2764885627258167,1.1367156142758388,1.1278806313329397,2.3940405737489776,19.5,10.37,2019-07-01,0.5683578071379505,3.2734312285517086,6.0,4
5,2019-07-08,"('EMBR3', 'WEGE3')",True,19.39,10.83,-1.7648969674718722,,2.0569389145379304,1.1369341221849942,1.1278806313329397,2.3940405737489776,19.5,10.37,2019-07-01,0.5684670610924928,3.273868244369984,6.0,5
6,2019-07-10,"('EMBR3', 'WEGE3')",True,19.42,11.39,-1.7648969674718722,,2.4053128708221436,1.1287067939587272,1.1278806313329397,2.3940405737489776,19.5,10.37,2019-07-01,0.5643533969794076,3.2574135879174984,6.0,6
7,2019-07-11,"('EMBR3', 'WEGE3')",close,19.2,11.35,-1.7648969674718722,-0.9727005021606709,1.8593229066958088,1.1171035810300365,1.1278806313329397,2.3940405737489776,19.5,10.37,2019-07-01,0.5585517905150215,3.234207162060076,6.0,7
0,2019-10-30,"('RAIL3', 'WEGE3')",True,23.07,12.49,1.9031407983613924,,-1.9109138472915141,0.9543281941291014,0.9543281941291014,-1.9109138472915141,23.07,12.49,2019-10-30,0.47716409706455576,2.908656388258208,20.0,0
1,2019-10-31,"('RAIL3', 'WEGE3')",True,22.77,12.32,1.9031407983613924,,-1.8476659777321416,0.9318599568543201,0.9543281941291014,-1.9109138472915141,23.07,12.49,2019-10-30,0.4659299784271398,2.8637199137086196,20.0,1
2,2019-11-01,"('RAIL3', 'WEGE3')",True,22.88,12.51,1.9031407983613924,,-2.042458597766082,0.9189617669376267,0.9543281941291014,-1.9109138472915141,23.07,12.49,2019-10-30,0.4594808834688297,2.8379235338752697,20.0,2
