time,open,high,low,close,tick_volume,spread,real_volume,ticker
2019-12-10,110973.0,111184.0,110133.0,110672.0,948807,0,12558987606,IBOV
2019-12-11,110672.0,111227.0,110530.0,110964.0,1103984,0,14641766383,IBOV
2019-12-12,110963.0,112445.0,110963.0,112200.0,1180006,0,15313393531,IBOV
2019-12-13,112205.0,112829.0,111780.0,112565.0,1478323,0,19908702288,IBOV
2019-12-16,112565.0,113197.0,111896.0,111896.0,1343933,0,16494615379,IBOV
2019-12-17,111897.0,112695.0,111897.0,112616.0,1254980,0,14971622298,IBOV
2019-12-18,112618.0,114339.0,112300.0,114315.0,1310996,0,22893896506,IBOV
2019-12-19,114313.0,115132.0,113712.0,115131.0,1105491,0,16162348164,IBOV
2019-12-20,115133.0,115171.0,114526.0,115121.0,1048360,0,19523168270,IBOV
2019-12-23,115119.0,115863.0,114964.0,115863.0,1895740,0,22090199006,IBOV
2019-12-26,115864.0,117220.0,115673.0,117203.0,1015504,0,10548606323,IBOV
2019-12-27,117205.0,117803.0,115995.0,116534.0,1039301,0,10897669413,IBOV
2019-12-30,116530.0,117086.0,115599.0,115645.0,841737,0,10297144874,IBOV
2020-01-02,115652.0,118573.0,115649.0,118573.0,22540869,0,250297964209,IBOV
2020-01-03,118564.0,118792.0,117341.0,117707.0,1223733,0,20214143649,IBOV
2020-01-06,117707.0,117707.0,116269.0,116878.0,1533240,0,21057052213,IBOV
2020-01-07,116872.0,117076.0,115965.0,116662.0,1207095,0,14811049509,IBOV
2020-01-08,116667.0,117335.0,115693.0,116247.0,1369662,0,17808682314,IBOV
2020-01-09,116248.0,116820.0,115411.0,115947.0,1428732,0,17974322291,IBOV
2020-01-10,115948.0,116745.0,114952.0,115503.0,1162190,0,14434540003,IBOV
2020-01-13,115503.0,117333.0,115503.0,117325.0,1338039,0,16711072522,IBOV
2020-01-14,117325.0,117705.0,116610.0,117632.0,1299384,0,15727329977,IBOV
2020-01-15,117632.0,117632.0,116188.0,116414.0,1358591,0,16635654808,IBOV
2020-01-16,116415.0,117106.0,115961.0,116704.0,1287312,0,14659867523,IBOV
2020-01-17,116710.0,118479.0,116710.0,118478.0,1115571,0,14963055143,IBOV
2020-01-20,118478.0,118862.0,117928.0,118862.0,850666,0,11063611204,IBOV
2020-01-21,118861.0,118861.0,117026.0,117026.0,1357289,0,16106157128,IBOV
2020-01-22,117036.0,118401.0,117036.0,118391.0,1269782,0,15562776882,IBOV
2020-01-23,118392.0,119535.0,116906.0,119528.0,1444342,0,19349464688,IBOV
2020-01-24,119528.0,119593.0,118108.0,118376.0,1038044,0,13968948616,IBOV
2020-01-27,118347.0,118347.0,114376.0,114482.0,1517421,0,17626822442,IBOV
2020-01-28,114482.0,116797.0,114475.0,116479.0,1190895,0,14951819404,IBOV
2020-01-29,116495.0,117171.0,115164.0,115385.0,1277866,0,14888957591,IBOV
2020-01-30,115375.0,115528.0,112826.0,115528.0,1542481,0,18293147978,IBOV
2020-01-31,115518.0,115518.0,113148.0,113761.0,1522513,0,18362179883,IBOV
2020-02-03,113761.0,115300.0,113467.0,114629.0,1535149,0,16337120042,IBOV
2020-02-04,114632.0,116556.0,114632.0,115557.0,1431344,0,17429886385,IBOV
2020-02-05,115563.0,117701.0,115562.0,116028.0,1628754,0,21665560164,IBOV
2020-02-06,116033.0,117382.0,114723.0,115190.0,1519282,0,21533513460,IBOV
2020-02-07,115190.0,115190.0,113769.0,113770.0,1442889,0,18765128110,IBOV
2020-02-10,113771.0,114177.0,112134.0,112570.0,1586478,0,22452295857,IBOV
2020-02-11,112574.0,115576.0,112574.0,115371.0,1499816,0,20502136322,IBOV
2020-02-12,115371.0,117581.0,115371.0,116674.0,1695894,0,23983248542,IBOV
2020-02-13,116660.0,116660.0,114801.0,115662.0,1233636,0,16412340881,IBOV
2020-02-14,115663.0,115663.0,114132.0,114381.0,1229938,0,14787967722,IBOV
2020-02-17,114381.0,115696.0,114381.0,115309.0,939436,0,13173571561,IBOV
2020-02-18,115309.0,115309.0,113532.0,114977.0,1351197,0,15303363247,IBOV
2020-02-19,114982.0,116545.0,114774.0,116518.0,1419954,0,17899756639,IBOV
2020-02-20,116518.0,116553.0,114379.0,114586.0,1656177,0,19668340018,IBOV
2020-02-21,114585.0,114585.0,112661.0,113681.0,1582607,0,16760963527,IBOV
2020-02-26,113647.0,113647.0,105053.0,105718.0,2386700,0,25385587609,IBOV
2020-02-27,105706.0,106656.0,102984.0,102984.0,2747114,0,29877034475,IBOV
2020-02-28,102984.0,104172.0,99951.0,104172.0,2744518,0,29615691797,IBOV
2020-03-02,104260.0,107220.0,103779.0,106625.0,2417532,0,24705996689,IBOV
2020-03-03,106630.0,108804.0,104405.0,105537.0,2372361,0,26507956154,IBOV
2020-03-04,105540.0,107809.0,105042.0,107224.0,1961441,0,22354594730,IBOV
2020-03-05,107217.0,107217.0,100536.0,102233.0,2159742,0,22695357691,IBOV
2020-03-06,102231.0,102231.0,96886.0,97997.0,2837557,0,29051293494,IBOV
2020-03-09,97964.0,97964.0,85880.0,86067.0,3689818,0,31519009901,IBOV
2020-03-10,86071.0,92230.0,86071.0,92214.0,3072718,0,29939692291,IBOV
2020-03-11,92202.0,92202.0,80796.0,85171.0,2807461,0,25213980693,IBOV
2020-03-12,85103.0,85103.0,68488.0,72583.0,2124874,0,21303373964,IBOV
2020-03-13,72621.0,83758.0,72621.0,82678.0,3814238,0,31821994699,IBOV
2020-03-16,82565.0,82565.0,70855.0,71168.0,3446268,0,24139376536,IBOV
